['BR', 'BR', 'BR', 'BR', 'BR', 'BR', '--', 'BR', 'BR', '--', '--', '--', '--', 'E1', 'SP', 'E1', '--', '--', '--', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'BR', 'ST', 'ST']
['BR', '--', '--', '--', '--', 'BR', '--', 'BR', 'BR', '--', 'SE', '--', '--', '--', '--', '--', '--', '--', 'NE', '--', '--', '--', '--', '--', '--', '--', '--', '--', '--', 'BR']
['BR', '--', 'BR', 'BR', '--', '--', '--', '--', 'ST', '--', '--', '--', '--', '--', '--', '--', '--', '--', 'BR', 'BR', 'BR', 'BR', 'BR', '--', 'BR', '--', 'BR', 'BR', 'BR', 'BR']
['BR', '--', 'BR', 'BR', 'BR', 'BR', 'BR', '--', 'BR', 'E2', 'BR', '--', 'BR', '--', '--', '--', '--', '--', 'CR', '--', '--', '--', '--', '--', 'BR', '--', '--', 'FO', 'FO', 'BR']
['BR', '--', '--', '--', '--', '--', '--', '--', 'BR', '--', 'BR', '--', 'BR', 'FO', 'FO', 'FO', 'FO', 'FO', 'BR', 'BR', 'BR', 'BR', 'BR', '--', 'BR', 'BR', '--', '--', 'FO', 'BR']
['BR', 'CR', 'ST', '--', 'BR', 'CR', 'BR', '--', 'BR', '--', 'ST', '--', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'ST', 'BR', '--', '--', '--', 'BR', 'BR', '--', 'FO', 'BR']
['BR', 'LG', 'ST', '--', 'BR', '--', 'BR', '--', 'BR', 'SE', 'ST', '--', 'LG', 'LG', 'LG', 'LG', 'LG', 'LG', 'LG', 'LG', 'ST', '--', '--', 'BR', '--', '--', 'BR', '--', 'BR', 'BR']
['BR', '--', 'BR', '--', 'BR', '--', 'BR', '--', 'BR', '--', 'ST', '--', 'NE', 'FO', 'FO', 'FO', 'FO', 'FO', 'SE', '--', '--', '--', 'BR', 'ST', 'BR', '--', '--', '--', '--', 'BR']
['BR', '--', 'BR', '--', 'BR', '--', 'BR', '--', '--', '--', '--', '--', 'FO', 'FO', 'WA', 'WA', 'WA', 'FO', 'FO', '--', 'ST', '--', '--', 'BR', '--', '--', 'BR', 'BR', '--', 'BR']
['BR', '--', 'BR', '--', 'BR', '--', 'BR', 'BR', 'BR', 'BR', 'ST', '--', 'FO', 'WA', 'WA', 'WA', 'WA', 'WA', 'FO', '--', 'ST', 'BR', '--', '--', '--', 'BR', 'BR', 'BR', '--', 'BR']
['BR', '--', 'LG', '--', 'CR', 'E1', '--', '--', '--', '--', '--', '--', 'FO', 'WA', 'WA', 'WA', 'WA', 'WA', 'FO', '--', 'ST', 'BR', 'BR', '--', 'BR', 'BR', '--', 'BR', '--', 'BR']
